ω/ω_0,角周波数[rad/s],周波数[Hz],gain_linear,ゲイン[dB],位相[deg]
0.1,3333.33333333333,530.516476972985,1.00498705961868,0.0432093948837791,-5.76788889791414
0.2,6666.66666666667,1061.03295394597,1.01977127056001,0.170055453413357,-11.7682889320206
0.3,10000,1591.54943091895,1.04365030965775,0.371100126082088,-18.2458545275783
0.4,13333.3333333333,2122.06590789194,1.07483395098087,0.626827522375059,-25.4633450618716
0.5,16666.6666666667,2652.58238486492,1.10940039245046,0.901766303490881,-33.6900675259798
0.7,23333.3333333333,3713.61533881089,1.15462356604051,1.24880834537432,-53.9239884436314
0.9,30000,4774.64829275686,1.08714920467061,0.725783049495812,-78.0792614600777
0.95,31666.6666666667,5039.90653124335,1.04713118270365,0.400021854312206,-84.1401605745986
1,33333.3333333333,5305.16476972984,1,0,-90
1.05,35000,5570.42300821634,0.947875282557174,-0.464976030884286,-95.5754936955567
1.1,36666.6666666667,5835.68124670283,0.892963929048789,-0.983321678476847,-100.80823094032
1.2,40000,6366.19772367581,0.782396929905507,-2.13145724742835,-110.136303428248
1.5,50000,7957.74715459477,0.512147519731584,-5.81209852354842,-129.805571092265
2,66666.6666666667,10610.3295394597,0.277350098112615,-11.1394335230684,-146.30993247402
4,133333.333333333,21220.6590789194,0.0644156626400831,-23.8201704257487,-165.068582821862
10,333333.333333333,53051.6476972985,0.0100498705961868,-39.9567906051162,-174.232111102086
