ω/ω_0,角周波数[rad/s],周波数[Hz],gain_linear,ゲイン[dB],位相[deg]
0.1,3333.33333333333,530.516476972985,1.01004948353633,0.0868530182338921,-0.578725565607762
0.2,6666.66666666667,1061.03295394597,1.04144068409178,0.352690789463708,-1.19348942398204
0.3,10000,1591.54943091895,1.09830442847672,0.814454694497264,-1.88818800674093
0.4,13333.3333333333,2122.06590789194,1.18912873538624,1.50457747994983,-2.72631099390627
0.5,16666.6666666667,2652.58238486492,1.33038021047548,2.47951552180562,-3.81407483429035
0.7,23333.3333333333,3713.61533881089,1.94257172471453,5.76754126063192,-7.81529354676688
0.9,30000,4774.64829275686,4.75651494154494,13.5457773065091,-25.3461759419467
0.95,31666.6666666667,5039.90653124335,7.34594449379399,17.3209528495564,-44.2559407971113
1,33333.3333333333,5305.16476972984,10,20,-90
1.05,35000,5570.42300821634,6.81499243695985,16.6693075641228,-134.309722802135
1.1,36666.6666666667,5835.68124670283,4.21824540609598,12.5026368443094,-152.354024636261
1.2,40000,6366.19772367581,2.19264504826757,6.81936665037238,-164.744881296942
1.5,50000,7957.74715459477,0.794301470789538,-2.0002926655377,-173.157226587369
2,66666.6666666667,10610.3295394597,0.33259505261887,-9.56168430475363,-176.18592516571
4,133333.333333333,21220.6590789194,0.0666429755974514,-23.5249123998816,-178.472474557787
10,333333.333333333,53051.6476972985,0.0101004948353633,-39.9131469817661,-179.421274434392
